Time,ID,B0,B1,B2,B3,B4,B5,B6,B7
-1496624505.62204,078,55,29,80,10,00,00,00,00
-1496624505.62816,076,3E,4B,C0,80,00,00,00,00
-1496624505.62841,077,00,00,08,00,7F,F7,E1,FE
-1496624505.62866,07D,00,0D,E7,B0,18,BF,EF,FE
-1496624505.64169,078,00,28,00,10,00,00,00,00
-1496624505.64879,076,3E,4B,C0,80,00,00,00,00
-1496624505.6488,077,00,00,08,01,7F,F7,F1,FE
-1496624505.64881,07D,00,0A,E9,C0,18,BF,EF,FE
-1496624505.66154,078,01,28,80,10,00,00,00,00
-1496624505.66829,076,3E,4B,C0,80,00,00,00,00
-1496624505.66831,077,00,00,08,00,7F,F7,F9,FC
-1496624505.66842,07D,00,07,EB,D0,18,BF,EF,FE
-1496624505.68154,078,01,28,80,10,00,00,00,00
-1496624505.6888,076,3E,4B,C0,80,00,00,00,00
-1496624505.68881,077,00,00,08,00,7F,F7,F5,FA
-1496624505.68882,07D,00,04,ED,E0,18,3F,EF,FE
-1496624505.70156,078,00,28,00,10,00,00,00,00
-1496624505.70807,076,3E,4B,C0,80,00,00,00,00
-1496624505.70817,077,00,00,08,00,7F,F7,E5,FB
-1496624505.70842,07D,00,02,EE,F0,18,3F,EF,FE
-1496624505.72182,078,55,29,80,10,00,00,00,00
-1496624505.7288,076,3E,4B,C0,80,00,00,00,00
-1496624505.72882,077,00,00,08,00,7F,F7,E9,FA
-1496624505.72893,07D,00,02,FD,00,17,BF,EF,FE
-1496624505.74193,078,01,28,80,10,00,00,00,00
-1496624505.74881,076,3E,4C,C0,80,00,00,00,00
-1496624505.74882,077,00,00,08,00,7F,F7,F5,F9
-1496624505.74893,07D,00,02,FC,10,17,3F,EF,FE
-1496624505.76169,078,00,28,00,10,00,00,00,00
-1496624505.76843,076,3E,4C,C0,80,00,00,00,00
-1496624505.76844,077,00,00,08,00,7F,F7,F9,FA
-1496624505.76845,07D,00,01,FC,20,16,BF,EF,FE
-1496624505.78169,078,01,28,80,10,00,00,00,00
-1496624505.78868,076,3E,4C,C0,80,00,00,00,00
-1496624505.78881,077,00,00,08,00,7F,F7,E9,FB
-1496624505.78882,07D,00,01,FB,30,16,BF,EF,FE
-1496624505.80183,078,01,28,80,10,00,00,00,00
-1496624505.80831,076,3E,4C,C0,80,00,00,00,00
-1496624505.80844,077,00,00,08,00,7F,F7,E9,FB
-1496624505.80845,07D,00,01,FA,40,16,3F,EF,FE
-1496624505.82171,078,54,29,00,10,00,00,00,00
-1496624505.82819,076,3E,4C,C0,80,00,00,00,00
-1496624505.82831,077,00,00,08,00,7F,F7,ED,F8
-1496624505.82857,07D,00,01,F9,50,15,BF,EF,FE
-1496624505.84172,078,01,28,80,10,00,00,00,00
-1496624505.8487,076,3E,4C,C0,80,00,00,00,00
-1496624505.84871,077,00,00,08,01,7F,F7,F1,F8
-1496624505.84872,07D,00,01,F8,60,15,BF,EF,FE
-1496624505.86247,078,01,28,80,10,00,00,00,00
-1496624505.86794,076,3E,4C,C0,80,00,00,00,00
-1496624505.86819,077,00,00,08,00,7F,F7,F1,F8
-1496624505.86844,07D,00,01,F7,70,15,3F,EF,FE
-1496624505.88209,078,00,28,00,10,00,00,00,00
-1496624505.88896,076,3E,4C,C0,80,00,00,00,00
-1496624505.88897,077,00,00,08,01,7F,F7,E9,FA
-1496624505.88898,07D,00,01,F6,80,14,BF,EF,FE
-1496624505.90169,078,01,28,80,10,00,00,00,00
-1496624505.90819,076,3E,4C,C0,80,00,00,00,00
-1496624505.90821,077,00,00,08,00,7F,F7,ED,F6
-1496624505.90844,07D,00,01,F5,90,14,3F,EF,FE
-1496624505.9221,078,55,29,80,10,00,00,00,00
-1496624505.92808,076,3E,4C,C0,80,00,00,00,00
-1496624505.92832,077,00,00,08,00,7F,F7,F1,F7
-1496624505.92858,07D,00,01,F4,A0,13,BF,EF,FE
-1496624505.94297,078,00,28,00,10,00,00,00,00
-1496624505.94871,076,3E,4C,C0,80,00,00,00,00
-1496624505.94883,077,00,00,08,00,7F,F7,F9,F7
-1496624505.94884,07D,00,01,F3,B0,13,3F,EF,FE
-1496624505.9617,078,01,28,80,10,00,00,00,00
-1496624505.9686,076,3E,4C,C0,80,00,00,00,00
-1496624505.96861,077,00,00,08,00,7F,F7,ED,F7
-1496624505.96862,07D,00,01,F2,C0,13,3F,EF,FE
-1496624505.98198,078,01,28,80,10,00,00,00,00
-1496624505.98821,076,3E,4C,C0,80,00,00,00,00
-1496624505.98846,077,00,00,08,01,7F,F7,E9,F7
-1496624505.98871,07D,00,01,F1,D0,12,BF,EF,FE
-1496624506.0026,078,00,28,00,10,00,00,00,00
-1496624506.00796,076,3E,4C,C0,80,00,00,00,00
-1496624506.00821,077,00,00,07,FF,7F,F7,F1,F6
-1496624506.00846,07D,00,01,F0,E0,12,3F,EF,FE
-1496624506.02159,078,55,29,80,10,00,00,00,00
-1496624506.02799,076,3E,4C,C0,80,00,00,00,00
-1496624506.02821,077,00,00,08,01,7F,F7,FD,F6
-1496624506.02846,07D,00,01,EF,F0,11,BF,EF,FE
-1496624506.04235,078,01,28,80,10,00,00,00,00
-1496624506.04809,076,3E,4C,C0,80,00,00,00,00
-1496624506.04834,077,00,00,08,00,7F,F7,E9,F5
-1496624506.0486,07D,00,01,FE,00,11,3F,EF,FE
-1496624506.06261,078,00,28,00,10,00,00,00,00
-1496624506.06822,076,3E,4C,C0,80,00,00,00,00
-1496624506.06823,077,00,00,08,00,7F,F7,E5,F6
-1496624506.06847,07D,00,01,FD,10,10,3F,EF,FE
-1496624506.08147,078,01,28,80,10,00,00,00,00
-1496624506.08872,076,3E,4D,C0,80,00,00,00,00
-1496624506.08873,077,00,00,07,FE,7F,F7,ED,F6
-1496624506.08885,07D,00,01,FC,20,0F,3F,EF,FE
-1496624506.10234,078,01,28,80,10,00,00,00,00
-1496624506.10898,076,3E,4D,C0,80,00,00,00,00
-1496624506.10899,077,00,00,08,01,7F,F7,F9,F4
-1496624506.1091,07D,00,01,FB,30,0E,3F,EF,FE
-1496624506.12285,078,54,29,00,10,00,00,00,00
-1496624506.12885,076,3E,4D,C0,80,00,00,00,00
-1496624506.12886,077,00,00,08,00,7F,F7,F9,F5
-1496624506.12887,07D,00,01,FA,40,0D,BF,EF,FE
-1496624506.14248,078,01,28,80,10,00,00,00,00
-1496624506.14798,076,3E,4D,C0,80,00,00,00,00
-1496624506.14835,077,00,00,08,00,7F,F7,E9,F6
-1496624506.14848,07D,00,01,F9,50,0C,BF,EF,FE
-1496624506.16235,078,01,28,80,10,00,00,00,00
-1496624506.16798,076,3E,4D,C0,80,00,00,00,00
-1496624506.16823,077,00,00,08,00,7F,F7,ED,F2
-1496624506.16848,07D,00,01,F8,60,0B,BF,EF,FE
-1496624506.18186,078,00,28,00,10,00,00,00,00
-1496624506.18912,076,3E,4D,C0,80,00,00,00,00
-1496624506.18913,077,00,00,08,00,7F,F7,F1,F3
-1496624506.18914,07D,00,00,F8,70,0B,3F,EF,FE
-1496624506.20149,078,01,28,80,10,00,00,00,00
-1496624506.20874,076,3E,4D,C0,80,00,00,00,00
-1496624506.20875,077,00,00,08,00,7F,F7,F9,F3
-1496624506.20876,07D,00,00,F7,80,0A,BF,EF,FE
-1496624506.22311,078,55,29,80,10,00,00,00,00
-1496624506.22886,076,3E,4D,C0,80,00,00,00,00
-1496624506.22888,077,00,00,08,00,7F,F7,F1,F3
-1496624506.22888,07D,00,00,F6,90,09,BF,EF,FE
-1496624506.24262,078,00,28,00,10,00,00,00,00
-1496624506.24815,076,3E,4D,C0,80,00,00,00,00
-1496624506.24837,077,00,00,08,00,7F,F7,E5,F3
-1496624506.24862,07D,00,00,F5,A0,09,3F,EF,FE
-1496624506.26249,078,01,28,80,10,00,00,00,00
-1496624506.26812,076,3E,4D,C0,80,00,00,00,00
-1496624506.26813,077,00,00,08,01,7F,F7,ED,F2
-1496624506.26837,07D,00,00,F4,B0,08,BF,EF,FE
-1496624506.28287,078,01,28,80,10,00,00,00,00
-1496624506.28862,076,3E,4D,C0,80,00,00,00,00
-1496624506.28864,077,00,00,08,00,7F,F7,FD,F3
-1496624506.28875,07D,00,00,F3,C0,08,3F,EF,FE
-1496624506.30262,078,00,28,00,10,00,00,00,00
-1496624506.30812,076,3E,4D,C0,80,00,00,00,00
-1496624506.30813,077,00,00,08,00,7F,F7,F1,F4
-1496624506.30837,07D,00,00,F2,D0,07,BF,EF,FE
-1496624506.32163,078,55,29,80,10,00,00,00,00
-1496624506.32789,076,3E,4D,C0,80,00,00,00,00
-1496624506.32825,077,00,00,08,01,7F,F7,E5,F3
-1496624506.32838,07D,00,00,F1,E0,07,3F,EF,FE
-1496624506.34238,078,01,28,80,10,00,00,00,00
-1496624506.3479,076,3E,4D,C0,80,00,00,00,00
-1496624506.34813,077,00,00,08,01,7F,F7,E9,F3
-1496624506.34838,07D,00,00,F0,F0,07,3F,EF,FE
-1496624506.36175,078,02,28,00,10,00,00,00,00
-1496624506.36866,076,3E,4D,C0,80,00,00,00,00
-1496624506.36867,077,00,00,08,01,7F,F7,F1,F1
-1496624506.36876,07D,00,00,FF,00,06,BF,EF,FE
-1496624506.38151,078,01,28,80,10,00,00,00,00
-1496624506.38888,076,3E,4D,C0,80,00,00,00,00
-1496624506.3889,077,00,00,08,00,7F,F7,F9,F3
-1496624506.38891,07D,00,00,FE,10,06,3F,EF,FE
-1496624506.40226,078,01,28,80,10,00,00,00,00
-1496624506.40791,076,3E,4D,C0,80,00,00,00,00
-1496624506.40814,077,00,00,08,00,7F,F7,F1,F3
-1496624506.40838,07D,00,00,FD,20,06,3F,EF,FE
-1496624506.42189,078,54,29,00,10,00,00,00,00
-1496624506.42864,076,3E,4D,C0,80,00,00,00,00
-1496624506.42889,077,00,00,08,02,7F,F7,E5,F2
-1496624506.4289,07D,00,00,FC,30,05,BF,EF,FE
-1496624506.44151,078,01,28,80,10,00,00,00,00
-1496624506.44865,076,3E,4D,C0,80,00,00,00,00
-1496624506.44866,077,00,00,08,01,7F,F7,F1,F0
-1496624506.44877,07D,00,00,FB,40,05,3F,EF,FE
-1496624506.46227,078,01,28,80,10,00,00,00,00
-1496624506.46804,076,3E,4D,C0,80,00,00,00,00
-1496624506.46827,077,00,00,08,00,7F,F7,FD,F2
-1496624506.46839,07D,00,00,FA,50,04,BF,EF,FE
-1496624506.48189,078,00,28,00,10,00,00,00,00
-1496624506.48902,076,3E,4D,C0,80,00,00,00,00
-1496624506.48903,077,00,00,08,01,7F,F7,F1,F4
-1496624506.48904,07D,00,00,F9,60,04,BF,EF,FE
-1496624506.50139,078,01,28,80,10,00,00,00,00
-1496624506.50816,076,3E,4D,C0,80,00,00,00,00
-1496624506.50817,077,00,00,08,02,7F,F7,E9,F3
-1496624506.50839,07D,00,00,F8,70,04,BF,EF,FE
-1496624506.52315,078,55,29,80,10,00,00,00,00
-1496624506.52815,076,3E,4D,C0,80,00,00,00,00
-1496624506.5284,077,00,00,08,02,7F,F7,F1,F0
-1496624506.52853,07D,00,00,F7,80,04,3F,EF,FE
-1496624506.54265,078,00,28,00,10,00,00,00,00
-1496624506.54818,076,3E,4D,C0,80,00,00,00,00
-1496624506.5484,077,00,00,08,01,7F,F7,ED,F3
-1496624506.54866,07D,00,00,F6,90,04,3F,EF,FE
-1496624506.5614,078,01,28,80,10,00,00,00,00
-1496624506.5683,076,3E,4E,C0,80,00,00,00,00
-1496624506.56831,077,00,00,08,01,7F,F7,F9,F2
-1496624506.56841,07D,00,00,F5,A0,04,3F,EF,FE
-1496624506.58203,078,01,28,80,10,00,00,00,00
-1496624506.58791,076,3E,4E,C0,80,00,00,00,00
-1496624506.58816,077,00,00,08,01,7F,F7,F1,F5
-1496624506.58841,07D,00,00,F4,B0,03,BF,EF,FE
-1496624506.60278,078,00,28,00,10,00,00,00,00
-1496624506.60831,076,3E,50,C0,80,00,00,00,00
-1496624506.60832,077,00,00,08,00,7F,F7,E9,F2
-1496624506.60841,07D,00,00,F3,C0,03,3F,EF,FE
-1496624506.62166,078,55,29,80,10,00,00,00,00
-1496624506.62791,076,3E,51,C0,80,00,00,00,00
-1496624506.62816,077,00,00,08,01,7F,F7,F5,F3
-1496624506.62841,07D,00,00,F2,D0,03,3F,EF,FE
-1496624506.64229,078,01,28,80,10,00,00,00,00
-1496624506.64817,076,3E,53,C0,80,00,00,00,00
-1496624506.64829,077,00,00,07,FF,7F,F7,F9,F1
-1496624506.6486,07D,00,00,F1,E0,03,3F,EF,FE
-1496624506.66279,078,00,28,00,10,00,00,00,00
-1496624506.66881,076,3E,53,C0,80,00,00,00,00
-1496624506.66882,077,00,00,08,01,7F,F7,F1,F5
-1496624506.66883,07D,00,00,F0,F0,02,BF,EF,FE
-1496624506.68154,078,01,28,80,10,00,00,00,00
-1496624506.68855,076,3E,55,C0,80,00,00,00,00
-1496624506.68892,077,00,00,08,00,7F,F7,E9,F4
-1496624506.68893,07D,00,00,FF,00,02,BF,EF,FE
-1496624506.70229,078,01,28,80,10,00,00,00,00
-1496624506.70907,076,3E,56,C0,80,00,00,00,00
-1496624506.70918,077,00,00,08,01,7F,F7,ED,F4
-1496624506.70919,07D,00,00,FE,10,02,BF,EF,FE
-1496624506.72192,078,54,29,00,10,00,00,00,00
-1496624506.72805,076,3E,57,C0,80,00,00,00,00
-1496624506.7283,077,00,00,08,01,7F,F7,FD,F3
-1496624506.72856,07D,00,00,FD,20,02,BF,EF,FE
-1496624506.74143,078,01,28,80,10,00,00,00,00
-1496624506.74868,076,3E,58,C0,80,00,00,00,00
-1496624506.74905,077,00,00,08,00,7F,F7,F9,F4
-1496624506.74907,07D,00,00,FC,30,02,BF,EF,FE
-1496624506.76231,078,01,28,80,10,00,00,00,00
-1496624506.7682,076,3E,5A,C0,80,00,00,00,00
-1496624506.76821,077,00,00,08,01,7F,F7,E9,F5
-1496624506.76843,07D,00,00,FB,40,02,3F,EF,FE
-1496624506.78293,078,00,28,00,10,00,00,00,00
-1496624506.78783,076,3E,5A,C0,80,00,00,00,00
-1496624506.78806,077,00,00,08,02,7F,F7,E5,F4
-1496624506.78831,07D,00,00,FA,50,02,3F,EF,FE
-1496624506.80144,078,01,28,80,10,00,00,00,00
-1496624506.80821,076,3E,5D,C0,80,00,00,00,00
-1496624506.80822,077,00,00,08,02,7F,F7,F1,F2
-1496624506.80831,07D,00,00,F9,60,02,3F,EF,FE
-1496624506.82306,078,55,29,80,10,00,00,00,00
-1496624506.82882,076,3E,5D,C0,80,00,00,00,00
-1496624506.82894,077,00,00,08,02,7F,F7,F9,F3
-1496624506.82895,07D,00,00,F8,70,02,3F,EF,FE
-1496624506.84269,078,00,28,00,10,00,00,00,00
-1496624506.84869,076,3E,5E,C0,80,00,00,00,00
-1496624506.84871,077,00,00,08,01,7F,F7,F1,F5
-1496624506.84882,07D,00,00,F7,80,02,3F,EF,FE
-1496624506.86144,078,01,28,80,10,00,00,00,00
-1496624506.86882,076,3E,5F,C0,80,00,00,00,00
-1496624506.86895,077,00,00,08,03,7F,F7,E1,F3
-1496624506.86919,07D,00,00,F6,90,01,BF,EF,FE
-1496624506.88282,078,01,28,80,10,00,00,00,00
-1496624506.88858,076,3E,60,C0,80,00,00,00,00
-1496624506.8887,077,00,00,08,03,7F,F7,F1,F2
-1496624506.88882,07D,00,00,F5,A0,01,BF,EF,FE
-1496624506.90282,078,00,28,00,10,00,00,00,00
-1496624506.90822,076,3E,61,C0,80,00,00,00,00
-1496624506.90823,077,00,00,08,02,7F,F7,F9,F4
-1496624506.90844,07D,00,00,F4,B0,01,BF,EF,FE
-1496624506.92183,078,55,29,80,10,00,00,00,00
-1496624506.92782,076,3E,62,C0,80,00,00,00,00
-1496624506.92808,077,00,00,08,01,7F,F7,F1,F4
-1496624506.92832,07D,00,00,F3,C0,01,BF,EF,FE
-1496624506.94245,078,01,28,80,10,00,00,00,00
-1496624506.94797,076,3E,64,C0,80,00,00,00,00
-1496624506.94808,077,00,00,08,02,7F,F7,E9,F3
-1496624506.94833,07D,00,00,F2,D0,01,BF,EF,FE
-1496624506.96283,078,00,28,00,10,00,00,00,00
-1496624506.96871,076,3E,65,C0,80,00,00,00,00
-1496624506.96883,077,00,00,08,03,7F,F7,F1,F4
-1496624506.96884,07D,00,00,F1,E0,01,BF,EF,FE
-1496624506.98133,078,01,28,80,10,00,00,00,00
-1496624506.98896,076,3E,66,C0,80,00,00,00,00
-1496624506.98897,077,00,00,08,02,7F,F7,F5,F4
-1496624506.98898,07D,00,00,F0,F0,01,3F,EF,FE
-1496624507.00246,078,01,28,80,10,00,00,00,00
-1496624507.00922,076,3E,68,C0,80,00,00,00,00
-1496624507.00923,077,00,60,08,00,7F,F7,FD,F3
-1496624507.00924,07D,00,00,FF,00,01,3F,EF,FE
-1496624507.02271,078,54,29,00,10,00,00,00,00
-1496624507.02834,076,3E,68,C0,80,00,00,00,00
-1496624507.02835,077,00,61,08,01,7F,F7,F1,F3
-1496624507.02836,07D,00,00,FE,10,01,3F,EF,FE
-1496624507.04134,078,01,28,80,10,00,00,00,00
-1496624507.0481,076,3E,69,C0,80,00,00,00,00
-1496624507.04811,077,00,61,08,00,7F,F7,E5,F4
-1496624507.04834,07D,00,00,FD,20,01,3F,EF,FE
-1496624507.06247,078,01,28,80,10,00,00,00,00
-1496624507.06872,076,3E,69,C0,80,00,00,00,00
-1496624507.06897,077,00,63,08,00,7F,F7,FD,F3
-1496624507.06898,07D,00,00,FC,30,01,3F,EF,FE
-1496624507.08185,078,00,28,00,10,00,00,00,00
-1496624507.08885,076,3E,6A,C0,80,00,00,00,00
-1496624507.0891,077,00,67,08,00,7F,F7,FD,F3
-1496624507.08911,07D,00,00,FB,40,01,3F,EF,FE
-1496624507.10134,078,01,28,80,10,00,00,00,00
-1496624507.10811,076,3E,6A,C0,80,00,00,00,00
-1496624507.10822,077,00,68,07,FE,7F,F7,F1,F4
-1496624507.10847,07D,00,00,FA,50,01,3F,EF,FE
-1496624507.1231,078,55,29,80,10,00,00,00,00
-1496624507.12873,076,3E,6B,C0,80,00,00,00,00
-1496624507.12885,077,00,69,08,00,7F,F7,E9,F3
-1496624507.12887,07D,00,00,F9,60,01,3F,EF,FE
-1496624507.1426,078,00,28,00,10,00,00,00,00
-1496624507.14849,076,3E,6C,C0,80,00,00,00,00
-1496624507.1485,077,00,6C,08,00,7F,F7,F1,F5
-1496624507.14851,07D,00,00,F8,70,01,3F,EF,FE
-1496624507.16135,078,01,28,80,10,00,00,00,00
-1496624507.16861,076,3E,6C,C0,80,00,00,00,00
-1496624507.16873,077,00,70,08,00,7F,F7,F5,F5
-1496624507.16875,07D,00,00,F7,80,01,3F,EF,FE
-1496624507.18236,078,01,28,80,10,00,00,00,00
-1496624507.18788,076,3E,6D,C0,80,00,00,00,00
-1496624507.18811,077,00,70,08,00,7F,F7,F5,F4
-1496624507.18836,07D,00,00,F6,90,01,3F,EF,FE
-1496624507.20286,078,00,28,00,10,00,00,00,00
-1496624507.20886,076,3E,6D,C0,80,00,00,00,00
-1496624507.20887,077,00,72,08,01,7F,F7,E5,F5
-1496624507.20888,07D,00,00,F5,A0,00,BF,EF,FE
-1496624507.22149,078,55,29,80,10,00,00,00,00
