Time,ID,B0,B1,B2,B3,B4,B5,B6,B7
-1496624505.05972,091,FF,FE,7F,03,B0,CD,30,00
-1496624505.05985,092,6F,AD,6F,8B,0F,A0,27,CD
-1496624505.05986,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.06122,3CA,FF,80,08,00,00,00,00,00
-1496624505.06259,078,00,28,00,10,00,00,00,00
-1496624505.06522,42C,88,00,00,00,54,A0,00,00
-1496624505.06785,165,20,C3,4B,00,10,00,00,00
-1496624505.06797,167,72,80,3F,09,FF,E0,00,00
-1496624505.06798,076,3E,41,C0,80,00,00,00,00
-1496624505.06822,077,00,00,08,00,7F,F7,F5,FF
-1496624505.06847,07D,00,2A,C6,F0,18,3F,EF,FE
-1496624505.06872,082,7E,08,94,0C,A9,80,40,00
-1496624505.06897,085,7C,39,80,00,4D,40,7C,7D
-1496624505.06922,200,02,96,80,00,80,6C,09,0A
-1496624505.06935,04A,02,00,00,18,00,00,00,00
-1496624505.06959,04B,00,00,18,D8,C0,18,C0,00
-1496624505.06984,04C,20,6B,BF,00,00,00,00,00
-1496624505.07009,091,FF,FE,7F,03,AF,CE,30,00
-1496624505.07047,092,6F,A1,6F,8B,0F,A0,32,CE
-1496624505.0706,202,0C,F3,4A,72,64,EE,00,00
-1496624505.07084,213,FF,FF,08,04,00,01,FF,40
-1496624505.07109,204,E4,00,7D,02,43,F3,12,30
-1496624505.07134,214,80,00,00,00,00,00,70,F0
-1496624505.07159,216,C2,21,99,12,82,00,0A,34
-1496624505.07184,217,00,00,00,00,00,00,00,00
-1496624505.07209,230,00,02,00,00,00,00,00,00
-1496624505.07234,083,00,20,00,00,00,00,00,00
-1496624505.07247,415,00,1A,D0,DE,0F,FF,0F,FF
-1496624505.07272,25C,01,F9,06,51,24,18,82,5C
-1496624505.07297,2A1,FF,FF,FF,FF,00,00,00,00
-1496624505.07334,4B0,A3,00,00,00,F0,01,50,C6
-1496624505.07472,186,14,04,01,F4,00,ED,04,00
-1496624505.07485,187,DF,14,08,00,00,40,00,00
-1496624505.07509,242,00,EB,20,06,E8,00,00,01
-1496624505.07772,047,20,00,00,00,00,00,00,00
-1496624505.07785,167,72,80,3F,09,FF,E0,00,00
-1496624505.07798,202,0C,F2,52,72,66,EE,00,00
-1496624505.07799,204,E8,00,7D,02,44,F2,12,20
-1496624505.078,217,00,00,00,00,00,00,00,00
-1496624505.07822,25C,01,FC,06,4D,24,18,82,5C
-1496624505.07847,455,00,00,00,00,00,00,00,00
-1496624505.07872,085,7C,39,80,00,4C,50,7C,7D
-1496624505.07897,3CC,80,00,00,00,00,00,00,00
-1496624505.07922,091,FF,FE,7E,FD,B5,CF,30,00
-1496624505.07947,092,6F,AF,6F,87,0F,A0,27,CF
-1496624505.07972,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.08235,078,01,28,80,10,00,00,00,00
-1496624505.0876,167,72,80,40,09,FF,E0,00,00
-1496624505.08773,165,20,C3,4B,00,10,00,00,00
-1496624505.08785,200,02,96,80,00,80,6C,0B,08
-1496624505.08809,076,3E,42,C0,80,00,00,00,00
-1496624505.08835,077,00,00,08,01,7F,F7,E1,FF
-1496624505.0886,07D,00,2A,D5,00,18,BF,EF,FE
-1496624505.08872,082,7E,08,94,0C,A9,80,40,00
-1496624505.08897,085,7C,3A,80,00,4A,60,7C,7D
-1496624505.08922,202,0C,F1,5A,72,66,EE,00,00
-1496624505.08947,091,FF,FE,7F,04,AC,D0,30,00
-1496624505.08972,092,6F,A5,6F,86,0F,A0,31,D0
-1496624505.08997,204,EC,00,7D,02,44,F1,12,20
-1496624505.09035,213,FF,FF,08,04,00,01,FF,40
-1496624505.09047,214,80,00,00,00,00,00,7F,00
-1496624505.09072,216,C2,21,99,12,82,00,0B,43
-1496624505.09097,217,00,00,00,00,00,00,00,00
-1496624505.09122,230,00,02,00,00,00,00,00,00
-1496624505.09136,25C,01,F7,06,52,24,18,82,5C
-1496624505.09172,3CA,FF,80,08,00,00,00,00,00
-1496624505.09185,415,00,1A,D4,DD,0F,FF,0F,FF
-1496624505.0921,416,94,00,F9,00,01,00,00,00
-1496624505.09235,4B0,A3,00,00,00,00,01,50,D5
-1496624505.09497,186,14,04,01,F4,00,ED,04,00
-1496624505.0951,187,DF,14,08,00,00,40,00,00
-1496624505.09785,047,20,00,00,00,00,00,00,00
-1496624505.09787,167,72,80,3F,09,FF,E0,00,00
-1496624505.09788,202,0C,F0,62,72,60,EE,00,00
-1496624505.09797,217,00,00,00,00,00,00,00,00
-1496624505.09835,204,F0,00,7D,02,45,F0,12,36
-1496624505.09848,25C,01,F3,06,4E,24,18,82,5C
-1496624505.09884,085,7C,3A,80,00,49,70,7C,7D
-1496624505.10022,091,FF,FE,7F,00,AF,D1,30,00
-1496624505.10024,092,6F,AE,6F,8A,0F,A0,23,D1
-1496624505.10034,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.10172,078,00,28,00,10,00,00,00,00
-1496624505.10697,167,72,80,3E,09,FF,E0,00,00
-1496624505.10864,165,20,C3,4B,00,10,00,00,00
-1496624505.10866,076,3E,42,C0,80,00,00,00,00
-1496624505.10867,077,00,00,08,01,7F,F7,E9,FE
-1496624505.10871,07D,00,2A,D4,10,18,BF,EF,FE
-1496624505.10872,082,7E,08,94,08,A9,80,40,00
-1496624505.10885,085,7C,3B,80,00,47,80,7C,7D
-1496624505.1091,178,02,21,02,00,4E,5D,CE,4D
-1496624505.10935,213,FF,FF,08,04,00,01,FF,40
-1496624505.1096,091,FF,FE,7E,FD,B2,D2,30,00
-1496624505.10985,092,6F,AD,6F,88,0F,A0,25,D2
-1496624505.1101,214,80,00,00,00,00,00,7E,10
-1496624505.11035,200,02,96,80,00,80,6C,0D,06
-1496624505.1106,216,C2,21,99,12,82,00,0C,36
-1496624505.11085,217,00,00,00,00,00,00,00,00
-1496624505.1111,202,0C,EF,6A,72,60,EE,00,00
-1496624505.11123,204,F4,00,7D,02,45,EF,12,2B
-1496624505.11147,3CC,80,00,00,00,00,00,00,00
-1496624505.11185,415,00,1A,D8,DC,0F,FF,0F,FF
-1496624505.11197,4B0,A3,00,00,00,10,01,50,D4
-1496624505.11335,230,00,02,00,00,00,00,00,00
-1496624505.11348,25C,01,F9,06,51,24,18,82,5C
-1496624505.11485,186,14,04,01,F4,00,ED,04,00
-1496624505.11498,187,DF,14,08,00,00,40,00,00
-1496624505.1151,18A,00,20,18,00,14,00,00,00
-1496624505.11523,242,00,EB,20,06,E8,00,00,01
-1496624505.11548,40A,C1,02,35,38,36,39,30,FF
-1496624505.11572,42C,88,00,00,00,54,A0,00,00
-1496624505.1171,047,20,00,00,00,00,00,00,00
-1496624505.11735,167,72,80,3E,09,FF,E0,00,00
-1496624505.1176,202,0C,EE,72,72,60,EE,00,00
-1496624505.11785,204,F8,00,7D,02,45,EE,12,2B
-1496624505.1181,217,00,00,00,00,00,00,00,00
-1496624505.11823,25C,01,F7,06,4D,24,18,82,5C
-1496624505.1196,085,7C,3B,80,00,46,90,7C,7D
-1496624505.11973,091,FF,FE,7E,FB,B3,D3,30,00
-1496624505.11985,092,6F,A4,6F,8C,0F,A0,29,D3
-1496624505.11987,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.12123,3CA,FF,80,08,00,00,00,00,00
-1496624505.1226,078,55,29,80,10,00,00,00,00
-1496624505.12273,422,00,00,00,8E,3C,12,FF,00
-1496624505.12275,423,AB,A0,00,00,00,00,00,00
-1496624505.12285,430,37,01,58,34,C8,79,77,00
-1496624505.12685,167,72,80,40,09,FF,E0,00,00
-1496624505.1271,165,20,C3,4B,00,10,00,00,00
-1496624505.12985,076,3E,43,C0,80,00,00,00,00
-1496624505.12987,077,00,00,08,00,7F,F7,F1,FF
-1496624505.12988,07D,00,2A,D3,20,18,BF,EF,FE
-1496624505.13011,082,7E,08,94,0C,A9,80,40,00
-1496624505.13012,085,7C,3C,80,00,43,A0,7C,7E
-1496624505.13013,200,02,96,80,00,80,6C,0F,04
-1496624505.13014,091,FF,FE,7F,04,A8,D4,30,00
-1496624505.13035,092,6F,B7,6F,89,0F,A0,18,D4
-1496624505.1306,202,0C,ED,7A,72,62,EE,00,00
-1496624505.13073,204,FC,00,7D,02,45,ED,12,25
-1496624505.13098,213,FF,FF,08,04,00,01,FF,40
-1496624505.13123,214,80,00,00,00,00,00,7D,20
-1496624505.13135,216,C2,21,99,12,82,00,0D,30
-1496624505.1316,217,00,00,00,00,00,00,00,00
-1496624505.13185,230,00,02,00,00,00,00,00,00
-1496624505.13198,25C,01,F7,06,52,24,18,82,5C
-1496624505.13223,415,00,1A,DC,DB,0F,FF,0F,FF
-1496624505.13235,4B0,A3,00,00,00,20,01,50,D3
-1496624505.13498,186,14,04,01,F4,00,ED,04,00
-1496624505.1351,187,DE,14,08,00,00,50,00,00
-1496624505.13798,047,20,00,00,00,00,00,00,00
-1496624505.13799,167,72,80,40,09,FF,E0,00,00
-1496624505.138,202,0C,FC,02,72,62,EE,00,00
-1496624505.13801,204,C0,00,7D,02,45,FC,12,2B
-1496624505.13802,217,00,00,00,00,00,00,00,00
-1496624505.13822,25C,01,F6,06,4D,24,18,82,5C
-1496624505.13985,085,7C,3C,80,00,43,B0,7C,7D
-1496624505.13987,3CC,80,00,00,00,00,00,00,00
-1496624505.13988,091,FF,FE,7E,FA,B2,D5,30,00
-1496624505.13989,092,6F,A8,6F,85,0F,A0,2A,D5
-1496624505.1399,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.14248,078,01,28,80,10,00,00,00,00
-1496624505.14785,167,72,80,40,09,FF,E0,00,00
-1496624505.14787,165,20,C3,4B,00,10,00,00,00
-1496624505.14788,200,02,96,80,00,80,6A,01,14
-1496624505.1481,076,3E,44,C0,80,00,00,00,00
-1496624505.14835,077,00,00,08,01,7F,F7,FD,FF
-1496624505.14861,07D,00,2A,D2,30,18,BF,EF,FE
-1496624505.14885,082,7E,08,94,08,A9,80,40,00
-1496624505.1491,085,7C,3C,80,00,42,C0,7C,7D
-1496624505.14935,202,0C,FB,0A,72,64,EE,00,00
-1496624505.14948,091,FF,FE,7F,02,A8,D6,30,00
-1496624505.14973,092,6F,AD,6F,87,0F,A0,22,D6
-1496624505.14998,204,C4,00,7D,02,44,FB,12,2B
-1496624505.15023,213,FF,FF,08,04,00,01,FF,40
-1496624505.15048,214,80,00,00,00,00,00,7C,30
-1496624505.15073,216,C2,21,99,12,82,00,0E,32
-1496624505.15098,217,00,00,00,00,00,00,00,00
-1496624505.15123,230,00,02,00,00,00,00,00,00
-1496624505.15148,25C,01,F5,06,52,24,18,82,5C
-1496624505.15173,3CA,FF,80,08,00,00,00,00,00
-1496624505.15198,415,00,1A,E0,DA,0F,FF,0F,FF
-1496624505.15223,4B0,A3,00,00,00,30,01,50,D2
-1496624505.15486,186,14,04,01,F4,00,ED,04,00
-1496624505.15498,187,DE,14,08,00,00,50,00,00
-1496624505.155,242,00,EB,20,06,E8,00,00,01
-1496624505.15785,047,20,00,00,00,00,00,00,00
-1496624505.15787,167,72,80,41,09,FF,E0,00,00
-1496624505.15788,202,0C,FA,12,72,64,EE,00,00
-1496624505.15789,204,C8,00,7D,02,44,FA,12,1A
-1496624505.15798,217,00,00,00,00,00,00,00,00
-1496624505.15836,25C,01,F9,06,4D,24,18,82,5C
-1496624505.15861,085,7C,3C,80,00,41,D0,7C,7D
-1496624505.15998,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.1601,091,FF,FE,7E,FA,B0,D7,30,00
-1496624505.16012,092,6F,B1,6F,84,0F,A0,20,D7
-1496624505.16273,078,00,28,00,10,00,00,00,00
-1496624505.16673,42C,88,00,00,00,54,A0,00,00
-1496624505.16685,167,72,80,42,09,FF,E0,00,00
-1496624505.16823,165,20,C3,4B,00,10,00,00,00
-1496624505.16836,076,3E,45,C0,80,00,00,00,00
-1496624505.16838,077,00,00,08,01,7F,F7,F1,FD
-1496624505.16839,07D,00,2A,D1,40,18,BF,EF,FE
-1496624505.16864,200,02,96,80,00,80,6A,03,12
-1496624505.16886,082,7E,08,94,08,A9,80,40,00
